ExpenseID,Date,Group,Expense,Category,Paid By,Amount ($),Split Type,Member,Share ($)
2026-01-12_00:00_cinemark,2026-01-12 00:00,iddaru,cinemark,🛒 Groceries,sharath,66.0,Equal split,nikhil,66.0
2026-01-13_00:00_costco_milk_and_detergent,2026-01-13 00:00,iddaru,costco milk and detergent,🛒 Groceries,sharath,21.0,Equal split,nikhil,21.0
2026-01-13_00:00_subway,2026-01-13 00:00,iddaru,subway,🛒 Groceries,sharath,13.19,Equal split,nikhil,13.19
2026-01-14_00:00_advance_auto_parts_watchers,2026-01-14 00:00,iddaru,advance auto parts watchers,🛒 Groceries,sharath,5.29,Equal split,nikhil,5.29
2026-01-15_00:00_shotted,2026-01-15 00:00,iddaru,shotted,🛒 Groceries,sharath,9.65,Equal split,nikhil,9.65
2026-01-19_00:00_layered,2026-01-19 00:00,iddaru,layered,🛒 Groceries,sharath,4.14,Equal split,sharath,2.07
2026-01-19_00:00_layered,2026-01-19 00:00,iddaru,layered,🛒 Groceries,sharath,4.14,Equal split,nikhil,2.07
2026-01-22_00:00_nando's,2026-01-22 00:00,iddaru,nando's,🛒 Groceries,sharath,14.19,Equal split,sharath,7.09
2026-01-22_00:00_nando's,2026-01-22 00:00,iddaru,nando's,🛒 Groceries,sharath,14.19,Equal split,nikhil,7.09
2026-01-22_00:00_costco,2026-01-22 00:00,iddaru,costco,🛒 Groceries,sharath,20.47,Equal split,nikhil,20.47
2026-01-22_00:00_costco_fuel,2026-01-22 00:00,iddaru,costco fuel,🛒 Groceries,sharath,27.0,Equal split,nikhil,27.0
